Folder,Sample,Channel,Background_Value
a,UO1,FSC-A,487046.90625
a,UO1,FSC-H,475686.8125
a,UO1,FSC-Width,1008.9816284179688
a,UO1,SSC-A,188208.09375
a,UO1,SSC-H,170992.0
a,UO1,B610-A,1062.800048828125
a,UO1,B610-H,1099.4000244140625
a,UO1,B690-A,180.8000030517578
a,UO1,B690-H,284.20001220703125
a,UO1,Y585-A,1363.5999755859375
a,UO1,Y585-H,1837.4000244140625
a,UO1,Y610-A,42.70000076293945
a,UO1,Y610-H,357.3999938964844
a,UO1,Y675-A,39.599998474121094
a,UO1,Y675-H,247.6999969482422
a,UO1,Y710-A,34.099998474121094
a,UO1,Y710-H,242.6999969482422
a,UO1,Y763-A,25.799999237060547
a,UO1,Y763-H,238.60000610351562
a,UO1,R660-A,31.200000762939453
a,UO1,R660-H,235.5
a,UO1,R712-A,40.099998474121094
a,UO1,R712-H,235.6999969482422
a,UO1,R763-A,5.099999904632568
a,UO1,R763-H,404.3999938964844
a,UO1,V450-A,1271.4000244140625
a,UO1,V450-H,1657.699951171875
a,UO1,V525-A,313.3999938964844
a,UO1,V525-H,490.3999938964844
a,UO1,V610-A,336.79998779296875
a,UO1,V610-H,521.4000244140625
a,UO1,V660-A,84.9000015258789
a,UO1,V660-H,226.10000610351562
a,UO1,V763-A,129.39999389648438
a,UO1,V763-H,340.3999938964844
a,UO1,B525-A,1518.199951171875
a,UO1,B525-H,1545.9000244140625
a,UO1,Time,188626.0
a,UO5,FSC-A,487046.90625
a,UO5,FSC-H,475686.8125
a,UO5,FSC-Width,1008.9816284179688
a,UO5,SSC-A,188208.09375
a,UO5,SSC-H,170992.0
a,UO5,B610-A,1062.800048828125
a,UO5,B610-H,1099.4000244140625
a,UO5,B690-A,180.8000030517578
a,UO5,B690-H,284.20001220703125
a,UO5,Y585-A,1363.5999755859375
a,UO5,Y585-H,1837.4000244140625
a,UO5,Y610-A,42.70000076293945
a,UO5,Y610-H,357.3999938964844
a,UO5,Y675-A,39.599998474121094
a,UO5,Y675-H,247.6999969482422
a,UO5,Y710-A,34.099998474121094
a,UO5,Y710-H,242.6999969482422
a,UO5,Y763-A,25.799999237060547
a,UO5,Y763-H,238.60000610351562
a,UO5,R660-A,31.200000762939453
a,UO5,R660-H,235.5
a,UO5,R712-A,40.099998474121094
a,UO5,R712-H,235.6999969482422
a,UO5,R763-A,5.099999904632568
a,UO5,R763-H,404.3999938964844
a,UO5,V450-A,1271.4000244140625
a,UO5,V450-H,1657.699951171875
a,UO5,V525-A,313.3999938964844
a,UO5,V525-H,490.3999938964844
a,UO5,V610-A,336.79998779296875
a,UO5,V610-H,521.4000244140625
a,UO5,V660-A,84.9000015258789
a,UO5,V660-H,226.10000610351562
a,UO5,V763-A,129.39999389648438
a,UO5,V763-H,340.3999938964844
a,UO5,B525-A,1518.199951171875
a,UO5,B525-H,1545.9000244140625
a,UO5,Time,188626.0
a,UR3,FSC-A,487046.90625
a,UR3,FSC-H,475686.8125
a,UR3,FSC-Width,1008.9816284179688
a,UR3,SSC-A,188208.09375
a,UR3,SSC-H,170992.0
a,UR3,B610-A,1062.800048828125
a,UR3,B610-H,1099.4000244140625
a,UR3,B690-A,180.8000030517578
a,UR3,B690-H,284.20001220703125
a,UR3,Y585-A,1363.5999755859375
a,UR3,Y585-H,1837.4000244140625
a,UR3,Y610-A,42.70000076293945
a,UR3,Y610-H,357.3999938964844
a,UR3,Y675-A,39.599998474121094
a,UR3,Y675-H,247.6999969482422
a,UR3,Y710-A,34.099998474121094
a,UR3,Y710-H,242.6999969482422
a,UR3,Y763-A,25.799999237060547
a,UR3,Y763-H,238.60000610351562
a,UR3,R660-A,31.200000762939453
a,UR3,R660-H,235.5
a,UR3,R712-A,40.099998474121094
a,UR3,R712-H,235.6999969482422
a,UR3,R763-A,5.099999904632568
a,UR3,R763-H,404.3999938964844
a,UR3,V450-A,1271.4000244140625
a,UR3,V450-H,1657.699951171875
a,UR3,V525-A,313.3999938964844
a,UR3,V525-H,490.3999938964844
a,UR3,V610-A,336.79998779296875
a,UR3,V610-H,521.4000244140625
a,UR3,V660-A,84.9000015258789
a,UR3,V660-H,226.10000610351562
a,UR3,V763-A,129.39999389648438
a,UR3,V763-H,340.3999938964844
a,UR3,B525-A,1518.199951171875
a,UR3,B525-H,1545.9000244140625
a,UR3,Time,188626.0
a,UT2,FSC-A,487046.90625
a,UT2,FSC-H,475686.8125
a,UT2,FSC-Width,1008.9816284179688
a,UT2,SSC-A,188208.09375
a,UT2,SSC-H,170992.0
a,UT2,B610-A,1062.800048828125
a,UT2,B610-H,1099.4000244140625
a,UT2,B690-A,180.8000030517578
a,UT2,B690-H,284.20001220703125
a,UT2,Y585-A,1363.5999755859375
a,UT2,Y585-H,1837.4000244140625
a,UT2,Y610-A,42.70000076293945
a,UT2,Y610-H,357.3999938964844
a,UT2,Y675-A,39.599998474121094
a,UT2,Y675-H,247.6999969482422
a,UT2,Y710-A,34.099998474121094
a,UT2,Y710-H,242.6999969482422
a,UT2,Y763-A,25.799999237060547
a,UT2,Y763-H,238.60000610351562
a,UT2,R660-A,31.200000762939453
a,UT2,R660-H,235.5
a,UT2,R712-A,40.099998474121094
a,UT2,R712-H,235.6999969482422
a,UT2,R763-A,5.099999904632568
a,UT2,R763-H,404.3999938964844
a,UT2,V450-A,1271.4000244140625
a,UT2,V450-H,1657.699951171875
a,UT2,V525-A,313.3999938964844
a,UT2,V525-H,490.3999938964844
a,UT2,V610-A,336.79998779296875
a,UT2,V610-H,521.4000244140625
a,UT2,V660-A,84.9000015258789
a,UT2,V660-H,226.10000610351562
a,UT2,V763-A,129.39999389648438
a,UT2,V763-H,340.3999938964844
a,UT2,B525-A,1518.199951171875
a,UT2,B525-H,1545.9000244140625
a,UT2,Time,188626.0
a,UT3,FSC-A,487046.90625
a,UT3,FSC-H,475686.8125
a,UT3,FSC-Width,1008.9816284179688
a,UT3,SSC-A,188208.09375
a,UT3,SSC-H,170992.0
a,UT3,B610-A,1062.800048828125
a,UT3,B610-H,1099.4000244140625
a,UT3,B690-A,180.8000030517578
a,UT3,B690-H,284.20001220703125
a,UT3,Y585-A,1363.5999755859375
a,UT3,Y585-H,1837.4000244140625
a,UT3,Y610-A,42.70000076293945
a,UT3,Y610-H,357.3999938964844
a,UT3,Y675-A,39.599998474121094
a,UT3,Y675-H,247.6999969482422
a,UT3,Y710-A,34.099998474121094
a,UT3,Y710-H,242.6999969482422
a,UT3,Y763-A,25.799999237060547
a,UT3,Y763-H,238.60000610351562
a,UT3,R660-A,31.200000762939453
a,UT3,R660-H,235.5
a,UT3,R712-A,40.099998474121094
a,UT3,R712-H,235.6999969482422
a,UT3,R763-A,5.099999904632568
a,UT3,R763-H,404.3999938964844
a,UT3,V450-A,1271.4000244140625
a,UT3,V450-H,1657.699951171875
a,UT3,V525-A,313.3999938964844
a,UT3,V525-H,490.3999938964844
a,UT3,V610-A,336.79998779296875
a,UT3,V610-H,521.4000244140625
a,UT3,V660-A,84.9000015258789
a,UT3,V660-H,226.10000610351562
a,UT3,V763-A,129.39999389648438
a,UT3,V763-H,340.3999938964844
a,UT3,B525-A,1518.199951171875
a,UT3,B525-H,1545.9000244140625
a,UT3,Time,188626.0
a,UT5,FSC-A,487046.90625
a,UT5,FSC-H,475686.8125
a,UT5,FSC-Width,1008.9816284179688
a,UT5,SSC-A,188208.09375
a,UT5,SSC-H,170992.0
a,UT5,B610-A,1062.800048828125
a,UT5,B610-H,1099.4000244140625
a,UT5,B690-A,180.8000030517578
a,UT5,B690-H,284.20001220703125
a,UT5,Y585-A,1363.5999755859375
a,UT5,Y585-H,1837.4000244140625
a,UT5,Y610-A,42.70000076293945
a,UT5,Y610-H,357.3999938964844
a,UT5,Y675-A,39.599998474121094
a,UT5,Y675-H,247.6999969482422
a,UT5,Y710-A,34.099998474121094
a,UT5,Y710-H,242.6999969482422
a,UT5,Y763-A,25.799999237060547
a,UT5,Y763-H,238.60000610351562
a,UT5,R660-A,31.200000762939453
a,UT5,R660-H,235.5
a,UT5,R712-A,40.099998474121094
a,UT5,R712-H,235.6999969482422
a,UT5,R763-A,5.099999904632568
a,UT5,R763-H,404.3999938964844
a,UT5,V450-A,1271.4000244140625
a,UT5,V450-H,1657.699951171875
a,UT5,V525-A,313.3999938964844
a,UT5,V525-H,490.3999938964844
a,UT5,V610-A,336.79998779296875
a,UT5,V610-H,521.4000244140625
a,UT5,V660-A,84.9000015258789
a,UT5,V660-H,226.10000610351562
a,UT5,V763-A,129.39999389648438
a,UT5,V763-H,340.3999938964844
a,UT5,B525-A,1518.199951171875
a,UT5,B525-H,1545.9000244140625
a,UT5,Time,188626.0
b,UO4,FSC-A,653146.5
b,UO4,FSC-H,576131.625
b,UO4,FSC-Width,1075.2451171875
b,UO4,SSC-A,217559.5
b,UO4,SSC-H,202358.0
b,UO4,B610-A,1001.0999755859375
b,UO4,B610-H,1501.9000244140625
b,UO4,B690-A,200.60000610351562
b,UO4,B690-H,374.1000061035156
b,UO4,Y585-A,1753.300048828125
b,UO4,Y585-H,2690.60009765625
b,UO4,Y610-A,77.80000305175781
b,UO4,Y610-H,390.8999938964844
b,UO4,Y675-A,114.0
b,UO4,Y675-H,309.29998779296875
b,UO4,Y710-A,102.0
b,UO4,Y710-H,296.79998779296875
b,UO4,Y763-A,70.9000015258789
b,UO4,Y763-H,275.8999938964844
b,UO4,R660-A,486.79998779296875
b,UO4,R660-H,775.7999877929688
b,UO4,R712-A,503.0
b,UO4,R712-H,793.4000244140625
b,UO4,R763-A,28.5
b,UO4,R763-H,442.70001220703125
b,UO4,V450-A,885.4000244140625
b,UO4,V450-H,1755.699951171875
b,UO4,V525-A,225.3000030517578
b,UO4,V525-H,497.8999938964844
b,UO4,V610-A,270.1000061035156
b,UO4,V610-H,571.2000122070312
b,UO4,V660-A,96.4000015258789
b,UO4,V660-H,259.70001220703125
b,UO4,V763-A,184.89999389648438
b,UO4,V763-H,461.29998779296875
b,UO4,B525-A,1085.699951171875
b,UO4,B525-H,1635.4000244140625
b,UO4,Time,323044.0
b,UO6,FSC-A,653146.5
b,UO6,FSC-H,576131.625
b,UO6,FSC-Width,1075.2451171875
b,UO6,SSC-A,217559.5
b,UO6,SSC-H,202358.0
b,UO6,B610-A,1001.0999755859375
b,UO6,B610-H,1501.9000244140625
b,UO6,B690-A,200.60000610351562
b,UO6,B690-H,374.1000061035156
b,UO6,Y585-A,1753.300048828125
b,UO6,Y585-H,2690.60009765625
b,UO6,Y610-A,77.80000305175781
b,UO6,Y610-H,390.8999938964844
b,UO6,Y675-A,114.0
b,UO6,Y675-H,309.29998779296875
b,UO6,Y710-A,102.0
b,UO6,Y710-H,296.79998779296875
b,UO6,Y763-A,70.9000015258789
b,UO6,Y763-H,275.8999938964844
b,UO6,R660-A,486.79998779296875
b,UO6,R660-H,775.7999877929688
b,UO6,R712-A,503.0
b,UO6,R712-H,793.4000244140625
b,UO6,R763-A,28.5
b,UO6,R763-H,442.70001220703125
b,UO6,V450-A,885.4000244140625
b,UO6,V450-H,1755.699951171875
b,UO6,V525-A,225.3000030517578
b,UO6,V525-H,497.8999938964844
b,UO6,V610-A,270.1000061035156
b,UO6,V610-H,571.2000122070312
b,UO6,V660-A,96.4000015258789
b,UO6,V660-H,259.70001220703125
b,UO6,V763-A,184.89999389648438
b,UO6,V763-H,461.29998779296875
b,UO6,B525-A,1085.699951171875
b,UO6,B525-H,1635.4000244140625
b,UO6,Time,323044.0
b,UR4,FSC-A,653146.5
b,UR4,FSC-H,576131.625
b,UR4,FSC-Width,1075.2451171875
b,UR4,SSC-A,217559.5
b,UR4,SSC-H,202358.0
b,UR4,B610-A,1001.0999755859375
b,UR4,B610-H,1501.9000244140625
b,UR4,B690-A,200.60000610351562
b,UR4,B690-H,374.1000061035156
b,UR4,Y585-A,1753.300048828125
b,UR4,Y585-H,2690.60009765625
b,UR4,Y610-A,77.80000305175781
b,UR4,Y610-H,390.8999938964844
b,UR4,Y675-A,114.0
b,UR4,Y675-H,309.29998779296875
b,UR4,Y710-A,102.0
b,UR4,Y710-H,296.79998779296875
b,UR4,Y763-A,70.9000015258789
b,UR4,Y763-H,275.8999938964844
b,UR4,R660-A,486.79998779296875
b,UR4,R660-H,775.7999877929688
b,UR4,R712-A,503.0
b,UR4,R712-H,793.4000244140625
b,UR4,R763-A,28.5
b,UR4,R763-H,442.70001220703125
b,UR4,V450-A,885.4000244140625
b,UR4,V450-H,1755.699951171875
b,UR4,V525-A,225.3000030517578
b,UR4,V525-H,497.8999938964844
b,UR4,V610-A,270.1000061035156
b,UR4,V610-H,571.2000122070312
b,UR4,V660-A,96.4000015258789
b,UR4,V660-H,259.70001220703125
b,UR4,V763-A,184.89999389648438
b,UR4,V763-H,461.29998779296875
b,UR4,B525-A,1085.699951171875
b,UR4,B525-H,1635.4000244140625
b,UR4,Time,323044.0
b,UT4,FSC-A,653146.5
b,UT4,FSC-H,576131.625
b,UT4,FSC-Width,1075.2451171875
b,UT4,SSC-A,217559.5
b,UT4,SSC-H,202358.0
b,UT4,B610-A,1001.0999755859375
b,UT4,B610-H,1501.9000244140625
b,UT4,B690-A,200.60000610351562
b,UT4,B690-H,374.1000061035156
b,UT4,Y585-A,1753.300048828125
b,UT4,Y585-H,2690.60009765625
b,UT4,Y610-A,77.80000305175781
b,UT4,Y610-H,390.8999938964844
b,UT4,Y675-A,114.0
b,UT4,Y675-H,309.29998779296875
b,UT4,Y710-A,102.0
b,UT4,Y710-H,296.79998779296875
b,UT4,Y763-A,70.9000015258789
b,UT4,Y763-H,275.8999938964844
b,UT4,R660-A,486.79998779296875
b,UT4,R660-H,775.7999877929688
b,UT4,R712-A,503.0
b,UT4,R712-H,793.4000244140625
b,UT4,R763-A,28.5
b,UT4,R763-H,442.70001220703125
b,UT4,V450-A,885.4000244140625
b,UT4,V450-H,1755.699951171875
b,UT4,V525-A,225.3000030517578
b,UT4,V525-H,497.8999938964844
b,UT4,V610-A,270.1000061035156
b,UT4,V610-H,571.2000122070312
b,UT4,V660-A,96.4000015258789
b,UT4,V660-H,259.70001220703125
b,UT4,V763-A,184.89999389648438
b,UT4,V763-H,461.29998779296875
b,UT4,B525-A,1085.699951171875
b,UT4,B525-H,1635.4000244140625
b,UT4,Time,323044.0
b,UT6,FSC-A,653146.5
