Folder,Sample,Channel,Pre_Median,Post_Median,Fold_Change,log2_Fold_Change,P_Value,Significance,Is_Primary,Background_Value
a,UO1,Y585-A,1442.1,1560.1001,1.0818252563476562,0.11346748471260071,2.4700166183960126e-36,***,True,1363.5999755859375
a,UO1,B525-A,699.30005,746.3501,1.0672816038131714,0.09394088387489319,0.002407786608882648,**,False,1518.199951171875
a,UO1,V450-A,703.9,800.7001,1.1375195980072021,0.18589140474796295,7.145447706283032e-10,***,False,1271.4000244140625
a,UO1,R660-A,73.2,121.5,1.6598361730575562,0.7310408353805542,2.9689071535046985e-304,***,False,31.200000762939453
a,UO5,Y585-A,1435.05,1767.0001,1.2313159704208374,0.30020102858543396,2.098806591543151e-26,***,False,1363.5999755859375
a,UO5,B525-A,2530.0,3133.7,1.2386165857315063,0.3087296783924103,1.945962655101137e-101,***,False,1518.199951171875
a,UO5,V450-A,1045.7001,1553.2999,1.485416293144226,0.5708673000335693,0.0,***,True,1271.4000244140625
a,UO5,R660-A,77.399994,90.8,1.1731266975402832,0.23035883903503418,1.423094102320641e-25,***,False,31.200000762939453
a,UR3,Y585-A,1584.0,1821.2999,1.149810552597046,0.201396182179451,1.1707966097300166e-05,***,False,1363.5999755859375
a,UR3,B525-A,727.75,1153.0,1.5843353271484375,0.6638777256011963,1.1188199997908616e-252,***,False,1518.199951171875
a,UR3,V450-A,1240.6,2105.8,1.6974045038223267,0.7633303999900818,0.0,***,True,1271.4000244140625
a,UR3,R660-A,58.600002,78.100006,1.3327645063400269,0.4144218862056732,1.0383716232598161e-62,***,False,31.200000762939453
a,UT2,Y585-A,0.0,199.20007,,,2.6710841326972954e-131,***,False,1363.5999755859375
a,UT2,B525-A,33041.2,37383.902,1.1314330101013184,0.1781511753797531,0.0,***,True,1518.199951171875
a,UT2,V450-A,0.0,181.19995,,,0.0,***,False,1271.4000244140625
a,UT2,R660-A,38.2,44.2,1.1570680141448975,0.2104736715555191,6.1011770828401304e-15,***,False,31.200000762939453
a,UT3,Y585-A,297.30005,132.30005,0.4450051486492157,-1.1681060791015625,7.449764200853179e-47,***,False,1363.5999755859375
a,UT3,B525-A,0.0,0.0,,,0.041016327438437576,*,False,1518.199951171875
a,UT3,V450-A,24620.2,37457.203,1.521401286125183,0.6054007411003113,0.0,***,True,1271.4000244140625
a,UT3,R660-A,70.5,52.399998,0.7432623505592346,-0.4280565679073334,3.357645906305525e-86,***,False,31.200000762939453
a,UT5,Y585-A,0.0,442.90002,,,0.0,***,False,1363.5999755859375
a,UT5,B525-A,0.0,50.400024,,,0.0,***,False,1518.199951171875
a,UT5,V450-A,130065.695,164942.69,1.2681490182876587,0.3427242934703827,0.0,***,True,1271.4000244140625
a,UT5,R660-A,38.2,84.2,2.204188346862793,1.1402474641799927,0.0,***,False,31.200000762939453
b,UO4,Y585-A,2851.7,1660.8,0.5823894739151001,-0.7799438238143921,2.9100976296863072e-294,***,False,1753.300048828125
b,UO4,B525-A,1116.9001,469.80005,0.42062851786613464,-1.249381422996521,0.0,***,False,1085.699951171875
b,UO4,V450-A,2344.25,1065.2999,0.45443102717399597,-1.137866735458374,0.0,***,False,885.4000244140625
b,UO4,R660-A,213.79999,332.5,1.5551918745040894,0.6370925903320312,4.9514582224811527e-259,***,True,486.79998779296875
b,UO6,Y585-A,222431.3,236581.11,1.0636142492294312,0.08897501230239868,5.457541775113858e-41,***,False,1753.300048828125
b,UO6,B525-A,1721.5,1553.1001,0.9021784067153931,-0.14851534366607666,6.831021260793502e-13,***,False,1085.699951171875
b,UO6,V450-A,4362.7,3040.2002,0.6968620419502258,-0.5210550427436829,3.3683010203400714e-10,***,False,885.4000244140625
b,UO6,R660-A,120.70001,254.20001,2.1060478687286377,1.074538230895996,3.863107865003772e-74,***,True,486.79998779296875
b,UR4,Y585-A,5022.0,4255.75,0.8474213480949402,-0.23884862661361694,4.8877522422636375e-17,***,False,1753.300048828125
b,UR4,B525-A,1677.5,1991.1001,1.1869449615478516,0.24725304543972015,8.921898204855404e-09,***,False,1085.699951171875
b,UR4,V450-A,4816.9,3976.4001,0.8255102038383484,-0.2766420543193817,1.2362081402314237e-11,***,False,885.4000244140625
b,UR4,R660-A,138.70001,188.35,1.3579667806625366,0.4414481818675995,1.8202650433737228e-36,***,True,486.79998779296875
b,UT4,Y585-A,76.19995,637.09985,8.360896110534668,3.063657522201538,0.0,***,False,1753.300048828125
b,UT4,B525-A,84.20007,199.90002,2.374107599258423,1.2473852634429932,4.3134441236328356e-88,***,False,1085.699951171875
b,UT4,V450-A,0.0,659.4,,,0.0,***,False,885.4000244140625
b,UT4,R660-A,19353.0,15988.2,0.826135516166687,-0.27554965019226074,2.2139713958689001e-293,***,True,486.79998779296875
b,UT6,Y585-A,787.3999,1054.3999,1.3390907049179077,0.42125368118286133,2.5046493840365324e-79,***,False,1753.300048828125
b,UT6,B525-A,241.0,160.90002,0.6676349639892578,-0.5828685760498047,3.9814199962941666e-54,***,False,1085.699951171875
b,UT6,V450-A,286.79993,381.0,1.328452229499817,0.40974634885787964,1.4689153461936113e-48,***,False,885.4000244140625
b,UT6,R660-A,16912.299,14651.101,0.8662986159324646,-0.207063689827919,1.4538040341291174e-150,***,True,486.79998779296875
c,UO2,Y585-A,2635.9,3706.5,1.4061611890792847,0.4917619824409485,1.5671315010721332e-39,***,False,999.0999755859375
c,UO2,B525-A,954.5499,1299.9,1.3617936372756958,0.44550809264183044,1.4181867233087007e-99,***,True,1258.4000244140625
c,UO2,V450-A,794.1,995.4,1.2534946203231812,0.3259558081626892,4.220163873882092e-49,***,False,738.5999755859375
c,UO2,R660-A,26.349998,24.799995,0.9411763548851013,-0.08746302127838135,0.735908569980765,ns,False,59.400001525878906
c,UR1,Y585-A,4353.9,5642.95,1.2960679531097412,0.3741413652896881,0.0,***,True,999.0999755859375
c,UR1,B525-A,455.0,581.45,1.2779121398925781,0.3537886440753937,3.936546167394671e-79,***,False,1258.4000244140625
c,UR1,V450-A,519.6,979.5,1.8851040601730347,0.914644181728363,0.0,***,False,738.5999755859375
c,UR1,R660-A,14.400002,17.699997,1.2291662693023682,0.2976800799369812,1.279107972783929e-06,***,False,59.400001525878906
c,UR2,Y585-A,1085.0001,2450.2002,2.258248805999756,1.1752043962478638,0.0,***,False,999.0999755859375
c,UR2,B525-A,953.4999,999.7001,1.0484533309936523,0.06826264411211014,1.4519032582686676e-17,***,True,1258.4000244140625
c,UR2,V450-A,1304.5,1225.3,0.9392871260643005,-0.09036185592412949,1.8363711300218393e-06,***,False,738.5999755859375
c,UR2,R660-A,25.0,48.0,1.9199999570846558,0.9411062598228455,3.1431616465017215e-76,***,False,59.400001525878906
c,UR5,Y585-A,1760.5001,1155.2999,0.6562339663505554,-0.6077178120613098,1.0631088917870691e-197,***,False,999.0999755859375
c,UR5,B525-A,586.7999,593.0,1.0105658769607544,0.015163371339440346,0.2349484052218967,ns,False,1258.4000244140625
c,UR5,V450-A,1417.7001,1846.75,1.302638053894043,0.381436288356781,0.0,***,True,738.5999755859375
c,UR5,R660-A,11.400002,16.849998,1.4780699014663696,0.5637145042419434,1.9762744464500426e-10,***,False,59.400001525878906
c,US1,Y585-A,362167.7,392956.2,1.0850117206573486,0.11771062761545181,1.2314368230695985e-92,***,True,999.0999755859375
c,US1,B525-A,164.19995,520.6,3.1705245971679688,1.6647216081619263,0.0,***,False,1258.4000244140625
c,US1,V450-A,171.60004,502.09998,2.925989866256714,1.5489248037338257,0.0,***,False,738.5999755859375
c,US1,R660-A,4.5,1.5999985,0.3555552065372467,-1.4918545484542847,0.20678908988796468,ns,False,59.400001525878906
c,US2,Y585-A,1235.7999,2290.5,1.8534553050994873,0.8902173042297363,0.0,***,False,999.0999755859375
c,US2,B525-A,2045.4,3134.85,1.5326342582702637,0.6160134673118591,0.0,***,True,1258.4000244140625
c,US2,V450-A,375.30005,559.4,1.4905407428741455,0.5758358240127563,3.509453051187159e-117,***,False,738.5999755859375
c,US2,R660-A,15.299995,16.400002,1.0718958377838135,0.10016471892595291,0.048919794069403034,*,False,59.400001525878906
c,UT1,Y585-A,2.531886e+06,2.5662168e+06,1.013559341430664,0.019430557265877724,0.7290859359362811,ns,True,999.0999755859375
c,UT1,B525-A,1416.2001,1399.5,0.9882078170776367,-0.01711362600326538,0.002386824773158183,**,False,1258.4000244140625
c,UT1,V450-A,588.2001,720.9,1.225603461265564,0.29349228739738464,6.828571097586388e-26,***,False,738.5999755859375
c,UT1,R660-A,41.299995,17.099998,0.4140436053276062,-1.272145390510559,1.951904211948938e-155,***,False,59.400001525878906
c,UT7,Y585-A,1259.0001,1478.2001,1.1741063594818115,0.23156310617923737,1.64632708995749e-88,***,False,999.0999755859375
c,UT7,B525-A,800.4999,733.0,0.9156778454780579,-0.12708798050880432,1.5674338807253418e-16,***,True,1258.4000244140625
c,UT7,V450-A,570.80005,938.0,1.6433074474334717,0.7166024446487427,0.0,***,False,738.5999755859375
c,UT7,R660-A,79.99999,85.99999,1.0750000476837158,0.10433672368526459,1.8498647866041547e-05,***,False,59.400001525878906
d,UR6,Y585-A,11918.35,20481.55,1.7184888124465942,0.7811404466629028,2.0932437364131307e-33,***,False,2186.35009765625
d,UR6,B525-A,2442.25,2190.75,0.8970211744308472,-0.15678605437278748,0.1841990456545851,ns,False,2183.64990234375
d,UR6,V450-A,4436.3,5388.6,1.214660882949829,0.28055357933044434,7.834345472884697e-10,***,False,1198.5
d,UR6,R660-A,2094.0,3981.7998,1.9015281200408936,0.9271592497825623,2.2151364458179923e-30,***,True,1607.0999755859375
d,US6,Y585-A,2657.65,2633.3499,0.9908565878868103,-0.013251831755042076,9.919641961176778e-07,***,False,2186.35009765625
d,US6,B525-A,1477.05,1142.05,0.7731965780258179,-0.37109285593032837,3.933570238447862e-172,***,False,2183.64990234375
d,US6,V450-A,1660.5,2013.65,1.2126768827438354,0.27819520235061646,7.045636474903797e-91,***,False,1198.5
d,US6,R660-A,805.7001,1116.2001,1.3853791952133179,0.4702809154987335,1.756760809051529e-246,***,True,1607.0999755859375
